period,apps,day,hour,activity_time,statistic,category
2019.2,Takeaway,Mondays-Thursdays,night (18-8),0.918888888888889,Std.Dev.,Delivery
2020.1,Takeaway,Mondays-Thursdays,night (18-8),1.06222222222222,Std.Dev.,Delivery
2020.2,Takeaway,Mondays-Thursdays,night (18-8),0.982777777777778,Std.Dev.,Delivery
2020.1,Bolt Courier,Mondays-Thursdays,night (18-8),1.4375,Std.Dev.,Delivery
2020.2,Bolt Courier,Mondays-Thursdays,night (18-8),1.19472222222222,Std.Dev.,Delivery
2018.1,Wolt,Mondays-Thursdays,night (18-8),1.37055555555556,Std.Dev.,Delivery
2018.2,Wolt,Mondays-Thursdays,night (18-8),1.40722222222222,Std.Dev.,Delivery
2019.1,Wolt,Mondays-Thursdays,night (18-8),1.50138888888889,Std.Dev.,Delivery
2019.2,Wolt,Mondays-Thursdays,night (18-8),1.27694444444444,Std.Dev.,Delivery
2020.1,Wolt,Mondays-Thursdays,night (18-8),1.49194444444444,Std.Dev.,Delivery
2020.2,Wolt,Mondays-Thursdays,night (18-8),1.29527777777778,Std.Dev.,Delivery
2018.1,Uber,Fridays-Sundays,day (8-18),1.42916666666667,Std.Dev.,Transportation
2018.2,Uber,Fridays-Sundays,day (8-18),1.54888888888889,Std.Dev.,Transportation
2019.1,Uber,Fridays-Sundays,day (8-18),1.45472222222222,Std.Dev.,Transportation
2019.2,Uber,Fridays-Sundays,day (8-18),1.48666666666667,Std.Dev.,Transportation
2020.1,Uber,Fridays-Sundays,day (8-18),1.62055555555556,Std.Dev.,Transportation
2020.2,Uber,Fridays-Sundays,day (8-18),1.79,Std.Dev.,Transportation
2018.1,Bolt Driver,Fridays-Sundays,day (8-18),1.62583333333333,Std.Dev.,Transportation
2018.2,Bolt Driver,Fridays-Sundays,day (8-18),1.64694444444444,Std.Dev.,Transportation
2019.1,Bolt Driver,Fridays-Sundays,day (8-18),1.57111111111111,Std.Dev.,Transportation
2019.2,Bolt Driver,Fridays-Sundays,day (8-18),1.57444444444444,Std.Dev.,Transportation
2020.1,Bolt Driver,Fridays-Sundays,day (8-18),1.75222222222222,Std.Dev.,Transportation
2020.2,Bolt Driver,Fridays-Sundays,day (8-18),1.65916666666667,Std.Dev.,Transportation
2018.1,FREE NOW,Fridays-Sundays,day (8-18),1.00083333333333,Std.Dev.,Transportation
2018.2,FREE NOW,Fridays-Sundays,day (8-18),1.09555555555556,Std.Dev.,Transportation
2019.1,FREE NOW,Fridays-Sundays,day (8-18),1.2675,Std.Dev.,Transportation
2019.2,FREE NOW,Fridays-Sundays,day (8-18),1.23583333333333,Std.Dev.,Transportation
2020.1,FREE NOW,Fridays-Sundays,day (8-18),1.375,Std.Dev.,Transportation
2020.2,FREE NOW,Fridays-Sundays,day (8-18),1.41972222222222,Std.Dev.,Transportation
2018.1,iTaxi,Fridays-Sundays,day (8-18),0.53,Std.Dev.,Transportation
